PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
Porbandar,11,GEN,Gujarat,Radadiya Vithalbhai Hansrajbhai,Bharatiya Janta Party,1539223,809433,52.60%,267971,33.10%
Pratapgarh,39,GEN,Uttar Pradesh [2000 Onwards],Kuwar Harivansh Singh,Apna Dal,1716625,894456,52.10%,168222,18.80%
Pune,34,GEN,Maharashtra,Anil Shirole,Bharatiya Janta Party,1835836,993274,54.10%,315769,31.80%
Puri,17,GEN,Orissa,Pinaki Misra,Biju Janata Dal,1404581,1039389,74.00%,263361,25.30%
Purnia,12,GEN,Bihar [2000 Onwards],Santosh Kumar,Janata Dal (United),1582967,1017732,64.30%,116669,11.50%
Purulia,35,GEN,West Bengal,Dr. Mriganka Mahato,All India Trinamool Congress,1471933,1204675,81.80%,153877,12.80%
Purvi Champaran,3,GEN,Bihar [2000 Onwards],Radha Mohan Singh,Bharatiya Janta Party,1452963,822671,56.60%,192163,23.40%
Rae Bareli,36,GEN,Uttar Pradesh [2000 Onwards],Sonia Gandhi,Indian National Congress,1594954,825136,51.70%,352713,42.70%
Raichur,6,ST,Karnataka,B.V.Nayak,Indian National Congress,1661606,968889,58.30%,1499,0.20%
Raigad,32,GEN,Maharashtra,Anant Geete,Shiv Sena,1532781,987766,64.40%,2110,0.20%
Raiganj,5,GEN,West Bengal,Md. Salim,Communist Party Of India (MARXIST),1387526,1108193,79.90%,1634,0.10%
Raigarh,2,ST,Chhattisgarh,Vishnu Deo Sai,Bharatiya Janta Party,1605824,1246186,77.60%,216750,17.40%
Raipur,8,GEN,Chhattisgarh,Ramesh Bais,Bharatiya Janta Party,1904230,1250845,65.70%,171646,13.70%
Rajahmundry,25,GEN,Andhra Pradesh [2014 Onwards],Murali Mohan Maganti,Telugu Desam,1421288,1154381,81.20%,167434,14.50%
Rajampet,41,GEN,Andhra Pradesh [2014 Onwards],P.V.Midhun Reddy,Yuvajana Sramika Rythu Congress Party,1487498,1158317,77.90%,174762,15.10%
Rajgarh,20,GEN,Madhya Pradesh [2000 Onwards],Rodmal Nagar,Bharatiya Janta Party,1578748,1010724,64.00%,228737,22.60%
Rajkot,10,GEN,Gujarat,Kundariya Mohanbhai Kalyanjibhai,Bharatiya Janta Party,1655717,1057069,63.80%,246428,23.30%
Rajmahal,1,ST,Jharkhand,Vijay Kumar Hansdak,Jharkhand Mukti Morcha,1353172,951563,70.30%,41337,4.30%
Rajnandgaon,6,GEN,Chhattisgarh,Abhishek Singh,Bharatiya Janta Party,1588095,1178296,74.20%,235911,20.00%
Rajsamand,22,GEN,Rajasthan,Hariom Singh Rathore,Bharatiya Janta Party,1699401,982119,57.80%,395705,40.30%
Ramanathapuram,35,GEN,Tamil Nadu,Anwhar Raajhaa.A,All India Anna Dravida Munnetra Kazhagam,1455891,1001048,68.80%,119324,11.90%
Rampur,7,GEN,Uttar Pradesh [2000 Onwards],Dr. Nepal Singh,Bharatiya Janta Party,1616984,956389,59.20%,23435,2.50%
Ramtek,9,SC,Maharashtra,Krupal Balaji Tumane,Shiv Sena,1677245,1050316,62.60%,175791,16.70%
Ranaghat,13,SC,West Bengal,Tapas Mandal,All India Trinamool Congress,1602849,1353196,84.40%,201767,14.90%
Ranchi,8,GEN,Jharkhand,Ram Tahal Choudhary,Bharatiya Janta Party,1648464,1049783,63.70%,199303,19.00%
Ratlam,24,ST,Madhya Pradesh [2000 Onwards],Dileepsingh Bhuria,Bharatiya Janta Party,1702648,1082681,63.60%,108447,10.00%
Ratnagiri - Sindhudurg,46,GEN,Maharashtra,Vinayak Bhaurao Raut,Shiv Sena,1367361,896256,65.60%,150051,16.70%
Raver,4,GEN,Maharashtra,Khadase Raksha Nikhil,Bharatiya Janta Party,1593370,1009213,63.30%,318068,31.50%
Rewa,10,GEN,Madhya Pradesh [2000 Onwards],Janardan Mishra,Bharatiya Janta Party,1544719,830002,53.70%,168726,20.30%
Robertsganj,80,SC,Uttar Pradesh [2000 Onwards],Chhotelal,Bharatiya Janta Party,1639561,885873,54.00%,190486,21.50%
Rohtak,7,GEN,Haryana,Deepender Singh Hooda,Indian National Congress,1567504,1044331,66.60%,170627,16.30%
Sabarkantha,5,GEN,Gujarat,Rathod Dipsinh Shankarsinh,Bharatiya Janta Party,1615840,1094002,67.70%,84455,7.70%
Sagar,5,GEN,Madhya Pradesh [2000 Onwards],Laxmi Narayan Yadav,Bharatiya Janta Party,1520184,891929,58.70%,120737,13.50%
Saharanpur,1,GEN,Uttar Pradesh [2000 Onwards],Raghav Lakhanpal,Bharatiya Janta Party,1608833,1194308,74.20%,65090,5.50%
Salem,15,GEN,Tamil Nadu,Pannerselvam.V,All India Anna Dravida Munnetra Kazhagam,1498350,1150296,76.80%,267610,23.30%
Salempur,71,GEN,Uttar Pradesh [2000 Onwards],Ravindra Kushawaha,Bharatiya Janta Party,1661737,854749,51.40%,232342,27.20%
Samastipur,23,SC,Bihar [2000 Onwards],Ram Chandra Paswan,Lok Jan Shakti Party,1503005,863199,57.40%,6872,0.80%
Sambalpur,3,GEN,Orissa,Nagendra Kumar Pradhan,Biju Janata Dal,1297098,984309,75.90%,30576,3.10%
Sambhal,8,GEN,Uttar Pradesh [2000 Onwards],Satyapal Singh,Bharatiya Janta Party,1693245,1057002,62.40%,5174,0.50%
Sangli,44,GEN,Maharashtra,Sanjaykaka Patil,Bharatiya Janta Party,1649107,1046659,63.50%,239292,22.90%
Sangrur,12,GEN,Punjab,Bhagwant Mann,Aam Aadmi Party,1424743,1099467,77.20%,211721,19.30%
Sant Kabir Nagar,62,GEN,Uttar Pradesh [2000 Onwards],Sharad Tripathi,Bharatiya Janta Party,1904327,1011649,53.10%,97978,9.70%
Saran,20,GEN,Bihar [2000 Onwards],Rajiv Pratap Rudy,Bharatiya Janta Party,1538744,863254,56.10%,40948,4.70%
Sarguja,1,ST,Chhattisgarh,Kamalbhan Singh Marabi,Bharatiya Janta Party,1523072,1187321,78.00%,147236,12.40%
Sasaram,34,SC,Bihar [2000 Onwards],Chhedi Paswan,Bharatiya Janta Party,1607747,846788,52.70%,63327,7.50%
Satara,45,GEN,Maharashtra,Shrimant Chh. Udayanraje Pratapsinha Bhonsale,Nationalist Congress Party,1719998,976681,56.80%,366594,37.50%
Satna,9,GEN,Madhya Pradesh [2000 Onwards],Ganesh Singh,Bharatiya Janta Party,1458084,913444,62.70%,8688,1.00%
Secundrabad,8,GEN,Telangana,Bandaru Dattatreya,Bharatiya Janta Party,1893647,1003769,53.00%,254735,25.40%
Shahdol,12,ST,Madhya Pradesh [2000 Onwards],Dalpat Singh Paraste,Bharatiya Janta Party,1561321,968518,62.00%,241301,24.90%
Shahjahanpur,27,SC,Uttar Pradesh [2000 Onwards],Krishna Raj,Bharatiya Janta Party,1979294,1129841,57.10%,235529,20.80%
Sheohar,4,GEN,Bihar [2000 Onwards],Rama Devi,Bharatiya Janta Party,1489724,842894,56.60%,136239,16.20%
Shillong,1,ST,Meghalaya,Vincent H. Pala,Indian National Congress,980740,619987,63.20%,40379,6.50%
Shimla,4,SC,Himachal Pradesh,Virender Kashyap,Bharatiya Janta Party,1153363,737757,64.00%,84187,11.40%
Shimoga,14,GEN,Karnataka,B. S. Yeddyurappa,Bharatiya Janta Party,1562241,1129008,72.30%,363305,32.20%
Shirdi,38,SC,Maharashtra,Lokhande Sadashiv Kisan,Shiv Sena,1459712,932645,63.90%,199922,21.40%
Shirur,36,GEN,Maharashtra,Adhalrao Shivaji Dattatrey,Shiv Sena,1824112,1089506,59.70%,301814,27.70%
Shrawasti,58,GEN,Uttar Pradesh [2000 Onwards],Daddan Mishra,Bharatiya Janta Party,1788080,979638,54.80%,85913,8.80%
Sidhi,11,GEN,Madhya Pradesh [2000 Onwards],Riti Pathak,Bharatiya Janta Party,1736050,989396,57.00%,108046,10.90%
Sikar,5,GEN,Rajasthan,Sumedhanand Saraswati,Bharatiya Janta Party,1770424,1065750,60.20%,239196,22.40%
Sikkim,1,GEN,Sikkim,Prem Das Rai,Sikkim Democratic Front,370611,308967,83.40%,41742,13.50%
Silchar,2,GEN,Assam,Sushmita Dev,Indian National Congress,1060175,799830,75.40%,35241,4.40%
Singhbhum,10,ST,Jharkhand,Laxman Giluwa,Bharatiya Janta Party,1152570,795286,69.00%,87524,11.00%
Sirsa,3,SC,Haryana,Charanjeet Singh Rori,Indian National Lok Dal,1660557,1279105,77.00%,115736,9.00%
Sitamarhi,5,GEN,Bihar [2000 Onwards],Ram Kumar Sharma,Rashtriya Lok Samta Party,1574914,900588,57.20%,147965,16.40%
Sitapur,30,GEN,Uttar Pradesh [2000 Onwards],Rajesh Verma,Bharatiya Janta Party,1550263,1026972,66.30%,51027,5.00%
Sivaganga,31,GEN,Tamil Nadu,Senthilnathan Pr,All India Anna Dravida Munnetra Kazhagam,1412373,1027036,72.70%,229385,22.30%
Siwan,18,GEN,Bihar [2000 Onwards],Om Prakash Yadav,Bharatiya Janta Party,1563860,884021,56.50%,113847,12.90%
Solapur,42,SC,Maharashtra,Sharad Bansode,Bharatiya Janta Party,1702755,951201,55.90%,149674,15.70%
Sonipat,6,GEN,Haryana,Ramesh Chander,Bharatiya Janta Party,1417188,985637,69.60%,77414,7.90%
South Delhi,7,GEN,Delhi [1977 Onwards],Ramesh Bidhuri,Bharatiya Janta Party,1752741,1102410,62.90%,107000,9.70%
South Goa,2,GEN,Goa,Adv. Narendra Keshav Sawaikar,Bharatiya Janta Party,545336,410369,75.30%,32330,7.90%
Srerampur,27,GEN,West Bengal,Kalyan Banerjee,All India Trinamool Congress,1624038,1290433,79.50%,152526,11.80%
Srikakulam,19,GEN,Andhra Pradesh [2014 Onwards],Rammohan Naidu Kinjarapu,Telugu Desam,1413989,1051446,74.40%,127572,12.10%
Srinagar,2,GEN,Jammu & Kashmir,Tariq Hameed Karra,Jammu & Kashmir Peoples Democratic Party,1205233,312212,25.90%,42280,13.50%
Sriperumbudur,5,GEN,Tamil Nadu,Ramachandran K.N. Thiru,All India Anna Dravida Munnetra Kazhagam,1946503,1286647,66.10%,102646,8.00%
Sultanpur,38,GEN,Uttar Pradesh [2000 Onwards],Feroze Varun Gandhi,Bharatiya Janta Party,1703698,964981,56.60%,178902,18.50%
Sundargarh,2,ST,Orissa,Jual @ Juel Oram,Bharatiya Janta Party,1410532,1010711,71.70%,18829,1.90%
Supaul,8,GEN,Bihar [2000 Onwards],Ranjeet Ranjan,Indian National Congress,1525592,970528,63.60%,59672,6.10%
Surat,24,GEN,Gujarat,Darshana Vikram Jardosh,Bharatiya Janta Party,1484068,947922,63.90%,533190,56.20%
Surendranagar,9,GEN,Gujarat,Fatepara Devajibhai Govindbhai,Bharatiya Janta Party,1656657,944677,57.00%,202907,21.50%
Tamluk,30,GEN,West Bengal,Adhikari Suvendu,All India Trinamool Congress,1527273,1337684,87.60%,246481,18.40%
Tehri Garhwal,1,GEN,Uttarakhand,Mala Rajya Laxmi Shah,Bharatiya Janta Party,1352845,776214,57.40%,192503,24.80%
Tenkasi,37,SC,Tamil Nadu,Vasanthi.M,All India Anna Dravida Munnetra Kazhagam,1382081,1017938,73.70%,161774,15.90%
Tezpur,9,GEN,Assam,Ram Prasad Sarmah,Bharatiya Janta Party,1259568,980688,77.90%,86020,8.80%
Thane,25,GEN,Maharashtra,Vichare Rajan Baburao,Shiv Sena,2073442,1054189,50.80%,281299,26.70%
Thanjavur,30,GEN,Tamil Nadu,Parasuraman.K,All India Anna Dravida Munnetra Kazhagam,1340050,1012258,75.50%,144119,14.20%
Theni,33,GEN,Tamil Nadu,Parthipan R.,All India Anna Dravida Munnetra Kazhagam,1441302,1075583,74.60%,314532,29.20%
Thiruvallur,1,SC,Tamil Nadu,Venugopal.P.(DR),All India Anna Dravida Munnetra Kazhagam,1702833,1254440,73.70%,323430,25.80%
Thiruvananthapuram,20,GEN,Kerala,Dr. Shashi Tharoor,Indian National Congress,1272748,873439,68.60%,15470,1.80%
Thoothukkudi,36,GEN,Tamil Nadu,Jeyasingh Thiyagaraj Natterjee.J,All India Anna Dravida Munnetra Kazhagam,1310597,916778,70.00%,124002,13.50%
Thrissur,10,GEN,Kerala,C. N. Jayadevan,Communist Party Of India,1275288,920505,72.20%,38227,4.20%
Tikamgarh,6,SC,Madhya Pradesh [2000 Onwards],Dr. Virendra Kumar,Bharatiya Janta Party,1529003,766321,50.10%,208731,27.20%
Tiruchirappalli,24,GEN,Tamil Nadu,Kumar.P,All India Anna Dravida Munnetra Kazhagam,1387140,988250,71.20%,150476,15.20%
Tirunelveli,38,GEN,Tamil Nadu,Prabakaran.K.R.P,All India Anna Dravida Munnetra Kazhagam,1420435,962330,67.80%,126099,13.10%
Tirupati,40,SC,Andhra Pradesh [2014 Onwards],Varaprasad Rao Velagapalli,Yuvajana Sramika Rythu Congress Party,1574544,1213064,77.00%,37425,3.10%
Tiruppur,18,GEN,Tamil Nadu,V.Sathyabama,All India Anna Dravida Munnetra Kazhagam,1375589,1050190,76.30%,179315,17.10%
Tiruvannamalai,11,GEN,Tamil Nadu,Vanaroja R,All India Anna Dravida Munnetra Kazhagam,1352966,1067447,78.90%,168606,15.80%
Tonk-Sawai Madhopur,12,GEN,Rajasthan,Sukhbir Singh Jaunapuria,Bharatiya Janta Party,1710775,1043040,61.00%,135311,13.00%
Tripura East,2,ST,Tripura,Jitendra Choudhury,Communist Party Of India (MARXIST),1140269,951110,83.40%,484358,50.90%
Tripura West,1,GEN,Tripura,Sankar Prasad Datta,Communist Party Of India (MARXIST),1248550,1072749,85.90%,503486,46.90%
Tumkur,19,GEN,Karnataka,Muddahanumegowda.S.P.,Indian National Congress,1518518,1101484,72.50%,74041,6.70%
Tura,2,ST,Meghalaya,Purno Agitok Sangma,National People's Party,586501,458071,78.10%,39716,8.70%
Udaipur,19,ST,Rajasthan,Arjunlal Meena,Bharatiya Janta Party,1817940,1193202,65.60%,236762,19.80%
Udhampur,5,GEN,Jammu & Kashmir,Dr. Jitendra Singh,Bharatiya Janta Party,1490244,1041758,69.90%,60976,5.90%
Udupi Chikmagalur,15,GEN,Karnataka,Shobha Karandlaje,Bharatiya Janta Party,1387295,1034108,74.50%,181643,17.60%
Ujiarpur,22,GEN,Bihar [2000 Onwards],Nityanand Rai,Bharatiya Janta Party,1428445,858920,60.10%,60469,7.00%
Ujjain,22,SC,Madhya Pradesh [2000 Onwards],Prof. Chintamani Malviya,Bharatiya Janta Party,1525481,1016405,66.60%,309663,30.50%
Uluberia,26,GEN,West Bengal,Sultan Ahmed,All India Trinamool Congress,1448632,1186027,81.90%,201222,17.00%
Unnao,33,GEN,Uttar Pradesh [2000 Onwards],Swami Sachchidanand Hari Sakshi,Bharatiya Janta Party,2164392,1201603,55.50%,310173,25.80%
Uttara Kannada,12,GEN,Karnataka,Anantkumar Hegde,Bharatiya Janta Party,1450599,1001038,69.00%,140700,14.10%
Vadakara,3,GEN,Kerala,Mullappally Ramachandran,Indian National Congress,1182504,959342,81.10%,3306,0.30%
Vadodara,20,GEN,Gujarat,Narendra Modi,Bharatiya Janta Party,1638321,1161577,70.90%,570128,49.10%
Vaishali,16,GEN,Bihar [2000 Onwards],Rama Kishore Singh,Lok Jan Shakti Party,1587202,925937,58.30%,99267,10.70%
Valmiki Nagar,1,GEN,Bihar [2000 Onwards],Satish Chandra Dubey,Bharatiya Janta Party,1456576,900114,61.80%,117793,13.10%
Valsad,26,ST,Gujarat,Dr. K.C.Patel,Bharatiya Janta Party,1512061,1122203,74.20%,208004,18.50%
Varanasi,77,GEN,Uttar Pradesh [2000 Onwards],Narendra Modi,Bharatiya Janta Party,1767486,1030685,58.30%,371784,36.10%
Vellore,8,GEN,Tamil Nadu,Senguttuvan B.,All India Anna Dravida Munnetra Kazhagam,1312251,974770,74.30%,59393,6.10%
Vidisha,18,GEN,Madhya Pradesh [2000 Onwards],Sushma Swaraj,Bharatiya Janta Party,1634370,1073473,65.70%,410698,38.30%
Vijayawada,29,GEN,Andhra Pradesh [2014 Onwards],Kesineni Srinivas,Telugu Desam,1564513,1195075,76.40%,74862,6.30%
Viluppuram,13,SC,Tamil Nadu,Rajendran S,All India Anna Dravida Munnetra Kazhagam,1387007,1067641,77.00%,193367,18.10%
Virudhunagar,34,GEN,Tamil Nadu,Radhakrishnan T,All India Anna Dravida Munnetra Kazhagam,1350495,1010930,74.90%,145551,14.40%
Visakhapatnam,21,GEN,Andhra Pradesh [2014 Onwards],Kambhampati Hari Babu,Bharatiya Janta Party,1723037,1163558,67.50%,90488,7.80%
Vizianagaram,20,GEN,Andhra Pradesh [2014 Onwards],Ashok Gajapathi Raju Pusapati,Telugu Desam,1404127,1120316,79.80%,106911,9.50%
Warangal,15,SC,Telangana,Kadiyam Srihari,Telangana Rashtra Samithi,1537781,1174631,76.40%,392574,33.40%
Wardha,8,GEN,Maharashtra,Ramdas Chandrabhanji Tadas,Bharatiya Janta Party,1564553,1013445,64.80%,215783,21.30%
Wayanad,4,GEN,Kerala,M I Shanavas,Indian National Congress,1249420,915006,73.20%,20870,2.30%
West Delhi,6,GEN,Delhi [1977 Onwards],Parvesh Sahib Singh Verma,Bharatiya Janta Party,2039410,1347971,66.10%,268586,19.90%
Yavatmal-Washim,14,GEN,Maharashtra,Gawali Bhavana Pundlikrao,Shiv Sena,1743498,1032949,59.30%,93816,9.10%
Zahirabad,5,GEN,Telangana,B.B. Patil,Telangana Rashtra Samithi,1445246,1094806,75.80%,144631,13.20%
